# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
15,Pre-Flop,1,-288,288,CALL,0,"['3h', '2h']","['6s', 'Ad']","['8h', '3s']",,,2,2
15,Flop,1,-288,288,CHECK,0,"['3h', '2h']","['6s', 'Ad']","['8h', '3s', '6h']",,,100,100
15,Flop,0,-288,288,CHECK,0,"['3h', '2h']","['6s', 'Ad']","['8h', '3s', '6h']",,,100,100
15,Turn,1,-288,288,CHECK,0,"['3h', '2h']","['6s', 'Ad']","['8h', '3s', '6h', '7s']",,,100,100
15,Turn,0,-288,288,CHECK,0,"['3h', '2h']","['6s', 'Ad']","['8h', '3s', '6h', '7s']",,,100,100
15,River,1,-288,288,CHECK,0,"['3h', '2h']","['6s', 'Ad']","['8h', '3s', '6h', '7s', 'Ah']",,,100,100
15,River,0,-288,288,CHECK,0,"['3h', '2h']","['6s', 'Ad']","['8h', '3s', '6h', '7s', 'Ah']",,,100,100
16,Pre-Flop,0,-188,188,RAISE,98,"['6s', '7d']","['4h', '8d']","['Ad', '7h']",,,1,1
16,Pre-Flop,1,-188,188,DISCARD,0,"['6s', '7d']","['4h', '8d']","['Ad', '7h']",,,2,2
16,Pre-Flop,1,-188,188,CALL,0,"['6s', '7d']","['Ah', '8d']","['Ad', '7h']",,4h,2,2
16,Flop,0,-188,188,CHECK,0,"['6s', '7d']","['Ah', '8d']","['Ad', '7h', '9d']",,4h,100,100
16,Flop,1,-188,188,CHECK,0,"['6s', '7d']","['Ah', '8d']","['Ad', '7h', '9d']",,4h,100,100
16,Turn,0,-188,188,CHECK,0,"['6s', '7d']","['Ah', '8d']","['Ad', '7h', '9d', '4s']",,4h,100,100
16,Turn,1,-188,188,CHECK,0,"['6s', '7d']","['Ah', '8d']","['Ad', '7h', '9d', '4s']",,4h,100,100
16,River,0,-188,188,CHECK,0,"['6s', '7d']","['Ah', '8d']","['Ad', '7h', '9d', '4s', '5s']",,4h,100,100
16,River,1,-188,188,CHECK,0,"['6s', '7d']","['Ah', '8d']","['Ad', '7h', '9d', '4s', '5s']",,4h,100,100
17,Pre-Flop,1,-288,288,CALL,0,"['7s', '4d']","['3h', '7h']","['6s', '5d']",,,1,1
17,Pre-Flop,0,-288,288,RAISE,98,"['7s', '4d']","['3h', '7h']","['6s', '5d']",,,2,2
17,Pre-Flop,1,-288,288,DISCARD,0,"['7s', '4d']","['3h', '7h']","['6s', '5d']",,,2,2
17,Pre-Flop,1,-288,288,FOLD,0,"['7s', '4d']","['3h', '2s']","['6s', '5d']",,7h,2,2
